"단풍길종류","연번","자치구(사업소)","구분","노선명(구간)","수종","수량(그루)","연장(km)","특징(선정사유)","비고(문의처)"
"산책길에서 만나는 단풍길","100","영등포구","가로","여의교로 (여의도역~KBS청원)","은행나무","271","1.1","여의도공원을 끼고 가로열 노란 은행잎을 밟으며 아름다운 단풍을 볼 수 있음","푸른도시과 (2670-3767)"
"산책길에서 만나는 단풍길","101","영등포구","가로","여의나루로 (여의나루역~한국거래소 사거리)","느티나무","100","0.4","따녹지가 조성되어 있어 쾌적하며, 가로수와 인접한 아파트 내 대형 느티나무로 인해 숲 터널 및 갈색단풍을 만끽할 수 있음","푸른도시과 (2670-3767)"
"산책길에서 만나는 단풍길","102","동작구","가로","여의대방로42길 (숭의여자중고등학교~대방동힐스 상가)","중국단풍나무","183","0.65","가을철 중국단풍나무를 감상하며, 단풍과 더불어 공원 벤치 쉼터 등이 있어 시민이 산책 및 도심 내 일상의 속에서 가을의 정취를 느낄 수 있음","공원녹지과 (820-9815)"
"산책길에서 만나는 단풍길","103","관악구","등산로","관악산 (관악산광장~관악산내장창)","단풍나무 등","2900","1","관악산 단풍정취를 볼 수 있는 대표적인 명소임","공원녹지과 (879-6561)"
"산책길에서 만나는 단풍길","104","관악구","가로","성현로","왕벚나무 등","112","1.3","왕벚나무 등 다양한 수목이 가로수를 이루고 있어 각양각색의 아름다운 가을 정취를 느낄 수 있음","공원녹지과 (879-6531)"
"산책길에서 만나는 단풍길","105","강남구","가로","양재천로 (영동2교~영동6교)","메타세쿼이아","859","2.95","메타세쿼이아 가로수길 양재천과 어우러져 이국적 분위기를 연출하며 단풍이 아름다움","공원녹지과 (3423-6272)"
"산책길에서 만나는 단풍길","106","강남구","공원","대치 연결녹지 (대청역 공영주차장~대치초등학교)","메타세쿼이아","239","0.3","메타세쿼이아 사이로 목재데크를 따라 조용히 사색할 수 있는 길","공원녹지과 (3423-6272)"
"산책길에서 만나는 단풍길","107","강동구","가로","고덕로 (고덕역~암사역)","느티나무","581","1.6","느티나무가 병렬식재되어 단풍 터널을 이룸","푸른도시과 (3425-6464)"
"산책길에서 만나는 단풍길","108","강동구","가로","강동대로 (둔촌사거리~풍납사거리)","은행나무","615","1.4","은행나무 가로수가 병렬식재 되어있고, 가로수와 메타세쿼이아 조화를 이룸","푸른도시과 (3425-6464)"
"산책길에서 만나는 단풍길","109","강동구","가로","동남로(이마트~ 한영중고교앞)","메타세쿼이아, 은행나무","502","1","메타세쿼이아, 은행나무가 2열 식재되어 있어 아름다운 단풍을 감상할 수 있음","푸른도시과 (3425-6464)"
"산책길에서 만나는 단풍길","110","강동구(신규)","가로","올림픽로(선사초교앞~서원마을입구로터리)","은행나무","303","0.96","암사역공원과 선사유적지 사이로 가을의 아름다운 황평색 은행나무 단풍을 감상할 수 있음","푸른도시과 (3425-6464)"
