가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재연도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
화성로,37.1943534,126.7187829,37.1943534,126.7187829,느티나무,37,0.8,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,송산면 육일리 산82-5번지 ~ 산82-5번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
전곡산단1길,37.1924284,126.6595267,37.1924284,126.6595267,벚나무,9,0.3,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,서신면 전곡리 1129번지 ~ 1129번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
전곡산단로,37.1897363,126.6799597,37.1897721,126.6575972,벚나무,573,3.2,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,서신면 전곡리 1026번지 ~ 557-273번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
"전곡항로32번길,50번길,62번길",37.1855905,126.6534277,37.1897177,126.6572842,벚나무,118,0.5,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,서신면 전곡리 1029번지 ~ 896번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
전곡항로50번길,37.1885849,126.654919,37.1882455,126.6554715,이팝나무,7,1.1,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,서신면 전곡리 994번지 ~ 980번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
전곡항로50번길,37.1885849,126.654919,37.1882455,126.6554715,은행나무,1,0.1,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,서신면 전곡리 994번지 ~ 980번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
전곡항로50번길,37.187889,126.6542511,37.1876032,126.6553939,이팝나무,19,0.1,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,서신면 전곡리 802번지 ~ 843번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
전공항로14번길,37.1858581,126.653809,37.1864408,126.6528621,은행나무,20,0.1,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,서신면 전곡리 858번지 ~ 894번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
전공항로14번길,37.186076,126.652637,37.1855905,126.6534277,이팝나무,10,0.1,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,서신면 전곡리 896번지 ~ 898번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
"화성로, 전곡항로",37.2028649,126.7923803,37.19027535,126.6814157,해송,5,32.3,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,서신면 전곡리 1076번지 ~ 남양읍 남양리 363-4번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
"화성로, 전곡항로",37.2028649,126.7923803,37.19027535,126.6814157,단풍나무,6,32.3,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,서신면 전곡리 1076번지 ~ 남양읍 남양리 363-4번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
"화성로, 전곡항로",37.2028649,126.7923803,37.19027535,126.6814157,메타세콰이어,28,32.3,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,서신면 전곡리 1076번지 ~ 남양읍 남양리 363-4번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
"화성로, 전곡항로",37.2028649,126.7923803,37.19027535,126.6814157,칠엽수,200,32.3,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,서신면 전곡리 1076번지 ~ 남양읍 남양리 363-4번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
"화성로, 전곡항로",37.2028649,126.7923803,37.19027535,126.6814157,배롱나무,117,32.3,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,서신면 전곡리 1076번지 ~ 남양읍 남양리 363-4번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
"화성로, 전곡항로",37.2028649,126.7923803,37.19027535,126.6814157,회화나무,215,32.3,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,서신면 전곡리 1076번지 ~ 남양읍 남양리 363-4번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
"화성로, 전곡항로",37.2028649,126.7923803,37.19027535,126.6814157,이팝나무,1109,32.3,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,서신면 전곡리 1076번지 ~ 남양읍 남양리 363-4번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
송산산단2길 29,37.2185248,126.6984804,37.2182591,126.694605,이팝나무,179,1,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,송산면 지화리 683-11번지 ~ 송산면 중송리 572-6번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
송산산단2길 29,37.2225743,126.6982683,37.2154705,126.6936503,느티나무,392,2.1,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,송산면 지화리 685-5번지 ~ 송산면 송산서로 149번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
"사강로, 송산포도로",37.2314001,126.7533203,37.2296115,126.7581158,배롱나무,84,0.5,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,송산면 용포리 112-3번지 ~ 278-2번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
"사강로, 송산포도로",37.2162899,126.7407459,37.208308,126.7260201,은행나무,36,2.9,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,송산면 육일리 290-1번지 ~ 송산면 봉가리 212-4번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
공룡로,37.2489519,126.7452804,37.2401931,126.7266846,회화나무,6,4.9,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,송산면 쌍정리 1252-1번지 ~ 송산면 고정리 166-2번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
공룡로,37.2489519,126.7452804,37.2401931,126.7266846,소나무,5,4.9,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,송산면 쌍정리 1252-1번지 ~ 송산면 고정리 166-2번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
공룡로,37.2489519,126.7452804,37.2401931,126.7266846,단풍나무,16,4.9,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,송산면 쌍정리 1252-1번지 ~ 송산면 고정리 166-2번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
공룡로,37.2489519,126.7452804,37.2401931,126.7266846,이팝나무,155,4.9,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,송산면 쌍정리 1252-1번지 ~ 송산면 고정리 166-2번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
공룡로,37.2489519,126.7452804,37.2401931,126.7266846,벚나무,43,4.9,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,송산면 쌍정리 1252-1번지 ~ 송산면 고정리 166-2번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
송산동로,37.2167764,126.7221194,37.2422003,126.7469793,은행나무,,3.5,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,송산면 고정리 460-1번지 ~ 송산면 사강리 365-22번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
송산동로,37.2167764,126.7221194,37.2422003,126.7469793,소나무,3,3.5,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,송산면 고정리 460-1번지 ~ 송산면 사강리 365-22번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
송산동로,37.2167764,126.7221194,37.2422003,126.7469793,회화나무,78,3.5,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,송산면 고정리 460-1번지 ~ 송산면 사강리 365-22번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
송산동로,37.2167764,126.7221194,37.2422003,126.7469793,중국단풍,89,3.5,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,송산면 고정리 460-1번지 ~ 송산면 사강리 365-22번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
송산동로,37.2167764,126.7221194,37.2422003,126.7469793,벚나무,7,3.5,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,송산면 고정리 460-1번지 ~ 송산면 사강리 365-22번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
삼일공원로,37.2180575,126.729460,37.2138916,126.7396779,벚나무,105,1.2,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,송산면 봉가리 146-3번지 ~ 송산면 사강리 297-7번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
삼일공원로,37.2180575,126.729460,37.2138916,126.7396779,소나무,90,1.2,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,송산면 봉가리 146-3번지 ~ 송산면 사강리 297-7번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
"마도북로, 금해로135번길",37.2021896,126.748384,37.2050132,126.7406422,벚나무,108,0.9,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 해문리 165번지 ~ 306-4번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
"금당길, 마도서길150번길",37.1831871,126.7531458,37.1852715,126.7464208,벚나무,145,0.9,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 금당리 923번지 ~ 1113번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
마도하천 둑방로(절골로),37.1900758,126.7236222,37.1934231,126.7228217,벚나무,90,0.9,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 백곡리 179번지 ~ 225-3번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
마도하천 둑방로(절골로),37.1993412,126.7660671,37.1986444,126.7534831,벚나무,117,1.2,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 슬항리 732-1번지 ~ 690번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
마도하천 둑방로(절골로),37.2036387,126.7692843,37.1956166,126.7645979,배롱나무,69,0.9,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 석교리 659-2번지 ~ 마도면 석교리 609-1번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
마도하천 둑방로(절골로),37.2036387,126.7692843,37.1956166,126.7645979,산수유,74,0.9,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 석교리 659-2번지 ~ 마도면 석교리 609-1번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
마도공단로,37.2031895,126.7998209,37.1871767,126.7901987,이팝나무,151,2,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 쌍송리 187-4번지 ~ 남양읍 남양리 389-3번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단로,37.173133,126.7631654,37.178409,126.7833554,느티나무,439,2.3,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 763-7번지 ~ 1319번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단로,37.173133,126.7631654,37.178409,126.7833554,둥근소나무,147,2.3,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 763-7번지 ~ 1319번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단로,37.173133,126.7631654,37.178409,126.7833554,둥근소나무,16,2.3,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 763-7번지 ~ 1319번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단로,37.173133,126.7631654,37.178409,126.7833554,해송,22,2.3,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 763-7번지 ~ 1319번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단로,37.173133,126.7631654,37.178409,126.7833554,산수유,135,2.3,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 763-7번지 ~ 1319번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단로,37.173133,126.7631654,37.178409,126.7833554,산수유,173,2.3,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 763-7번지 ~ 1319번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단 7길,37.1721999,126.7667518,37.1663986,126.766326,중국단풍,120,0.7,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 1488번지 ~ 1343번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단 6길,37.1718934,126.7648789,37.1711634,126.7702966,이팝나무,40,0.5,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 1423번지 ~ 1331번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단 5길,37.1718934,126.7648789,37.1711634,126.7702966,이팝나무,296,1.8,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 1423번지 ~ 1331번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단 4길,37.1754645,126.7678518,37.173001,126.7744419,이팝나무,169,0.9,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 1300번지 ~ 1281번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단 4길,37.1730417,126.7684918,37.1754645,126.7678518,중국단풍,73,0.4,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 1281번지 ~ 1311번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
중로2-9,37.1712072,126.7692364,37.1680086,126.7683019,이팝나무,59,0.4,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 1450번지 ~ 1421번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단 3길,37.1664706,126.7747089,37.1673187,126.7631857,중국단풍,193,1.1,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 1479번지 ~ 1502번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단 3길,37.1702486,126.7783101,37.1665947,126.7769072,이팝나무,72,0.6,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 1386번지 ~ 1375번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단 3길,37.1901227,126.7729916,37.1712159,126.777375,이팝나무,24,0.2,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 1389번지 ~ 1542번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단 2길,37.1748516,126.7746557,37.1746313,126.7650052,이팝나무,68,0.4,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 1521번지 ~ 1294번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단 2길,37.1742002,126.7677744,37.1738235,126.7717796,이팝나무,81,0.4,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 1302번지 ~ 1306번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단 2길,37.1749125,126.7631755,37.1752799,126.7660296,이팝나무,63,0.3,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 1269번지 ~ 1520번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
중로 2-12,37.1710151,126.7740012,37.1709899,126.7746206,이팝나무,25,0.1,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 1404번지 ~ 1403번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단 1길,37.1664706,126.7747089,37.1723876,126.7693047,이팝나무,141,0.9,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 1502번지 ~ 1526번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단 1길,37.1716334,126.7754228,37.16863141,126.7755509,중국단풍,129,0.7,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 1540번지 ~ 1367번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단 8길,37.1738797,126.762791,37.1738797,126.762791,소나무(장송),3,1,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 1520번지 ~ 1520번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단 8길,37.1738797,126.762791,37.1690821,126.7621591,벚나무,163,1,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 1527번지 ~ 1520번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
청원산단 8길,37.1804388,126.7564607,37.1750755,126.7629419,이팝나무,198,0.9,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 청원리 564-4번지 ~ 340-11번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
마도공단길,37.1792382,126.7855928,37.1849123,126.7894748,벚나무,114,0.9,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 쌍송리 667-1번지 ~ 682번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
"마도공단로 2,4,5,6길",37.1749916,126.7865475,37.1833216,126.7930538,이팝나무,202,1.1,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 쌍송리 666-7번지 ~ 691-9번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
"마도공단로 1,2,4,5,6길",37.1898582,126.7777285,37.1857504,126.7928862,느티나무,21,1.4,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 쌍송리 664-1번지 ~ 692-10번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
"마도공단로 1,2,4,5,6길",37.1898582,126.7777285,37.1857504,126.7928862,이팝나무,257,1.4,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 쌍송리 664-1번지 ~ 692-10번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
마도공단로,37.1792382,126.7855928,37.1764048,126.7899106,중국단풍,107,0.6,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 쌍송리 684-6번지 ~ 682번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
마도공단로 6길,37.1807143,126.7863017,37.1774293,126.7903519,벚나무,108,0.6,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 쌍송리 684-3번지 ~ 678번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
마도공단로 5길,37.1815111,126.7868314,37.1791102,126.7920501,중국단풍,112,0.6,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 쌍송리 676-7번지 ~ 678-1번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
마도공단로 4길,37.1849123,126.7894748,37.1808263,126.7933584,벚나무,104,0.6,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 쌍송리 675-9번지 ~ 667-1번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
마도공단로 2길,37.1849123,126.7894748,37.182691,126.7941732,중국단풍,88,0.5,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 쌍송리 665-5번지 ~ 667-1번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
마도공단로 1길,37.1862375,126.7926832,37.1776472,126.7853246,은행나무,547,2.6,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,마도면 쌍송리 695-1번지 ~ 692-5번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
해양공단로,37.1843316,126.6658516,37.1873651,126.6669265,느티나무,23,2.25,,도심지 내 가로수의 아름다움을 느낄 수 있음,,,서신면 송교리 산 6-6번지 ~장외리 95-23번지,031-5189-1352,경기도 화성시 만세구 환경관리과,2026-04-08,5530000,경기도 화성시
오성로,36.020379,126.766251,35.991862,126.782384,배롱나무,520,3.8,,여름철 시골길을 따라 빨갛게 핀 배롱나무 꽃을 감상할 수 있음,,지방도,금강미래체험관~중앙삼거리,063-454-2972,전북특별자치도 군산시,2026-04-21,4671000,전북특별자치도 군산시
대학로,35.962313,126.692848,35.956719,126.688989,메타세쿼이아,145,0.9,,은파호수공원 가는길로 키가 큰 메타세쿼이아가 줄지어 있어 도심 내 녹음을 느낄 수 있음,,시도,나운사거리~은파호수공원 입구,063-454-2972,전북특별자치도 군산시,2026-04-21,4671000,전북특별자치도 군산시
경포천로,35.957437,126.724016,35.969864,126.725242,이팝나무+벚나무+메타세쿼이아+써니스마라그+에메랄드그린,1008,1.3,,경포천로를 따라 다양한 수종이 심어져 있어 볼거리가 다양해 산책하기 좋음,,시도,원협공판장~경문교,063-454-2972,전북특별자치도 군산시,2026-04-21,4671000,전북특별자치도 군산시
번영로,35.975288,126.724557,35.933292,126.877131,벚나무,2210,16.8,,군산시내부터 익산까지 이어지는 벚나무길로 역사와 전통을 자랑하는 전군도로 벚꽃을 감상할 수 있음,,일반국도,팔마광장~익산경계,063-454-2972,전북특별자치도 군산시,2026-04-21,4671000,전북특별자치도 군산시
월명로,35.958986,126.716004,35.945859,126.715977,느티나무,250,1.5,,10차선 이상의 대로변 양옆으로 오래된 느티나무가 수관이 크게 뻗어있어 녹음과 아름다움을 느낄수 있음,,시도,남북로사거리~당북교차로,063-454-2972,전북특별자치도 군산시,2026-04-21,4671000,전북특별자치도 군산시
의료원로,35.955515,126.713285,35.957052,126.704117,무궁화,119,0.8,,도심 내 무궁화 꽃을 볼 수 있는 곳으로 해마다 가지치를 통해 크고 아름다운 무궁화를 감상 할 수 있음,,시도,군산의료원~ 백토사거리,063-454-2972,전북특별자치도 군산시,2026-04-21,4671000,전북특별자치도 군산시
양안로,35.969947,126.737645,35.969874,126.733333,느티나무,75,0.4,1993,시청 뒷길로 오래된 느티나무가 터널을 형성하고 있고 맥문동과 어울려 짙은 녹음을 느낄수 있음,,시도,조촌로~진포로,063-454-2972,전북특별자치도 군산시,2026-04-21,4671000,전북특별자치도 군산시
시청로,35.965997,126.735549,35.966716,126.740239,느티나무,102,0.5,,시청 앞부터 군산교육청 양방향 느티나무가 우거져 아름다운 경관이 조성되어 있음,,시도,시청사거리~법원로,063-454-2972,전북특별자치도 군산시,2026-04-21,4671000,전북특별자치도 군산시
해망로,35.981878,126.724252,35.991855,126.708776,메타세쿼이아,260,2,,군산근대화거리까지 이어지는 메타세쿼이아길로 고즈넉한 주변 분위기와 어우러져 도심 속 녹음을 느낄 수 있음,,시도,경암사거리~도선장사거리,063-454-2972,전북특별자치도 군산시,2026-04-21,4671000,전북특별자치도 군산시
버들로길,36.806721,127.158416,36.808278,127.154429,능수버들,119,1,,능수버들 상징수목,,,원성주유소~천안역,041-521-2764,충청남도 천안시청,2026-03-24,4490000,충청남도 천안시
번영로,36.853156,127.127391,36.863283,127.149231,이팝나무,1034,2,,이팝나무 식재되어 있어 봄꽃길을 선사함,,,운동장사거리~세집매삼거리,041-521-2764,충청남도 천안시청,2026-03-24,4490000,충청남도 천안시
북면위례성로길,36.770041,127.252726,36.771255,127.250476,벚나무,105,14,,벚나무가 식재되어 있어 봄꽃길을 선사함,,,연춘리~북면면사무소,041-521-2764,충청남도 천안시청,2026-03-24,4490000,충청남도 천안시
태조산길,36.824893,127.188127,36.818666,127.196583,은행나무,325,1.5,,은행나무가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,,,태조산공원~계성원입구,041-521-2764,충청남도 천안시청,2026-03-24,4490000,충청남도 천안시
벚꽃로,37.425289,126.669337,37.412037,126.687539,벚나무,407,2.1,,도로를_따라_벚나무가_식재되어_있음,,,청학사거리~원인재역,,,2026-05-08,3520000,인천광역시 연수구
솔샘로,37.425286,126.660913,37.423318,126.668423,중국단풍,43,0.2,,도로를_따라_중국단풍가_식재되어_있음,,,청학도서관~미추홀대로,,,2026-05-08,3520000,인천광역시 연수구
선학로,37.425901,126.698907,37.420584,126.696964,은행나무,186,1,,도로를_따라_은행나무가_식재되어_있음,,,선학역~은행나무어린이공원,,,2026-05-08,3520000,인천광역시 연수구
청명로,37.415967,126.673733,37.418431,126.676404,중국단풍,45,0.9,,도로를_따라_중국단풍가_식재되어_있음,,,나래병원~로얄프라자,,,2026-05-08,3520000,인천광역시 연수구
한나루로,37.421498,126.637566,37.427733,126.657511,은행나무+감나무,361,1.9,,도로를_따라_은행나무_등이_식재되어_있음,,,송도역삼거리~아암1교,,,2026-05-08,3520000,인천광역시 연수구
봉재산로,37.411937,126.665791,37.400831,126.665666,중국단풍,515,1.8,,도로를_따라_중국단풍가_식재되어_있음,,,인천상수도사업본부~인천서해그랑블5단지,,,2026-05-08,3520000,인천광역시 연수구
용담로,37.412013,126.681697,37.421448,126.668188,중국단풍,285,3.3,,도로를_따라_중국단풍가_식재되어_있음,,,연수2동행정복지센터~청학공업고등학교,,,2026-05-08,3520000,인천광역시 연수구
청학로,37.426978,126.663376,37.431262,126.664871,벚나무,77,0.5,,도로를_따라_벚나무가_식재되어_있음,,,비류대로~청학풀장,,,2026-05-08,3520000,인천광역시 연수구
새말로,37.415695,126.686661,37.424765,126.673168,중국단풍,310,3.7,,도로를_따라_중국단풍가_식재되어_있음,,,연수중학교~효정아파트,,,2026-05-08,3520000,인천광역시 연수구
함박로,37.424491,126.678574,37.423882,126.686071,회화나무+은행나무+이팝나무,132,0.9,,도로를_따라_회화나무_등이_식재되어_있음,,,함박마을 일원,,,2026-05-08,3520000,인천광역시 연수구
인권로,37.417938,126.650535,37.419377,126.653425,은행나무,50,0.3,,도로를_따라_은행나무가_식재되어_있음,,,송도로터리~인천상륙작전기념관,,,2026-05-08,3520000,인천광역시 연수구
청량로,37.428556,126.653879,37.412243,126.664862,은행나무,250,3,,도로를_따라_은행나무가_식재되어_있음,,,송도역~인천여성의광장,,,2026-05-08,3520000,인천광역시 연수구
옥련로,37.425353,126.656131,37.426057,126.639631,왕벚나무+은행나무+느티나무,743,0.4,,도로를_따라_왕벚나무_등이_식재되어_있음,,,한나루로~능허대로,,,2026-05-08,3520000,인천광역시 연수구
